warehouse_size,query_num,run_type,run_count,avg_exec_time,median_exec_time,min_exec_time,max_exec_time,stddev_exec_time
MEDIUM,1,cold,1,5.545,5.545,5.545,5.545,
MEDIUM,1,warm,3,4.114,4.079,4.066,4.198,0.073
MEDIUM,2,semi-warm,1,14.588,14.588,14.588,14.588,
MEDIUM,2,warm,3,7.639,4.779,4.769,13.368,4.962
MEDIUM,3,semi-warm,1,6.954,6.954,6.954,6.954,
MEDIUM,3,warm,3,4.35,4.738,3.521,4.792,0.719
MEDIUM,4,semi-warm,1,3.504,3.504,3.504,3.504,
MEDIUM,4,warm,3,2.995,2.933,2.848,3.203,0.185
MEDIUM,5,semi-warm,1,4.874,4.874,4.874,4.874,
MEDIUM,5,warm,3,4.708,4.894,4.315,4.916,0.341
MEDIUM,6,semi-warm,1,1.119,1.119,1.119,1.119,
MEDIUM,6,warm,3,1.147,1.169,1.075,1.196,0.064
MEDIUM,7,semi-warm,1,6.405,6.405,6.405,6.405,
MEDIUM,7,warm,3,3.597,3.62,3.513,3.657,0.075
MEDIUM,8,semi-warm,1,3.735,3.735,3.735,3.735,
MEDIUM,8,warm,3,3.687,3.69,3.647,3.725,0.039
MEDIUM,9,semi-warm,1,18.991,18.991,18.991,18.991,
MEDIUM,9,warm,3,16.012,16.37,15.113,16.554,0.784
MEDIUM,10,semi-warm,1,8.453,8.453,8.453,8.453,
MEDIUM,10,warm,3,8.909,9.033,8.603,9.091,0.267
MEDIUM,11,semi-warm,1,11.763,11.763,11.763,11.763,
MEDIUM,11,warm,3,9.287,7.962,7.732,12.168,2.497
MEDIUM,12,semi-warm,1,3.837,3.837,3.837,3.837,
MEDIUM,12,warm,3,2.406,2.403,2.369,2.446,0.039
MEDIUM,13,semi-warm,1,7.517,7.517,7.517,7.517,
MEDIUM,13,warm,3,6.719,6.587,6.277,7.292,0.52
MEDIUM,14,semi-warm,1,1.687,1.687,1.687,1.687,
MEDIUM,14,warm,3,1.267,1.059,0.997,1.745,0.415
MEDIUM,15,semi-warm,1,1.713,1.713,1.713,1.713,
MEDIUM,15,warm,3,1.555,1.68,1.259,1.727,0.258
MEDIUM,16,semi-warm,1,5.506,5.506,5.506,5.506,
MEDIUM,16,warm,3,6.414,6.349,6.235,6.658,0.219
MEDIUM,17,semi-warm,1,2.274,2.274,2.274,2.274,
MEDIUM,17,warm,3,1.971,1.952,1.715,2.246,0.266
MEDIUM,18,semi-warm,1,7.984,7.984,7.984,7.984,
MEDIUM,18,warm,3,7.506,7.483,7.385,7.649,0.133
MEDIUM,19,semi-warm,1,2.303,2.303,2.303,2.303,
MEDIUM,19,warm,3,1.916,1.74,1.704,2.303,0.336
MEDIUM,20,semi-warm,1,8.58,8.58,8.58,8.58,
MEDIUM,20,warm,3,8.483,8.009,7.402,10.039,1.381
